fdc_id,alimento,energía_kcal,proteína_g,grasa_lípida_total_g,carbohidratos_por_diferencia_g,fibra_total_dietaria_g,azúcares_total_incluido_nlea_g,calcio_ca_mg,hierro_fe_mg,magnesio_mg_mg,fósforo_p_mg,potasio_k_mg,sodio_na_mg,zinc_zn_mg,cobre_cu_mg,manganeso_mn_mg,selenio_se_ug,yodo_i_ug,cromo_cr_ug,molibdeno_mo_ug,cloruro_cl_mg,fluoruro_f_ug,vitamina_a_rae_ug,vitamina_c_total_ácido_ascórbico_mg,vitamina_d_d2_plus_d3_ug,vitamina_e_alfa_tocoferol_mg,vitamina_k_filoquinona_ug,tiamina_mg,mg_riboflavina,niacina_mg,ácido_pantoténico_mg,vitamina_b_6_mg,folato_total_ug,vitamina_b_12_ug,colina_total_mg,biotina_ug,vitamina_a_iu_iu
168694,"Carne de res, lomo, corte entero, parte magra y grasa, recortado a 1/8 ""de grasa, elegido, crudo",195,20.56,11.92,0,0,,4,1.99,22,199,342,54,3.24,0.075,0.013,19.6,,,,,,0,0,0.2,0.18,1.5,0.1,0.17,3.74,0.36,0.47,8,2.82,85.9,,0
168701,"Carne de res, lomo, ojo de lomo, asado, parte magra y grasa, recortado a 1/8 ""de grasa, elegido, crudo",173,21.68,8.91,0,0,,16,1.92,23,206,334,55,3.97,0.096,0.013,26.1,,,,,,0,0,,0.33,1.3,0.083,0.149,6.59,0.633,0.64,12,1.84,90.6,,0
168703,"Carne de res, lomo, ojo de lomo, asado, parte magra y grasa, recortado a 1/8 ""de grasa, selecto, crudo",160,21.3,7.57,0.08,0,,24,1.69,23,208,346,62,3.98,0.092,0.013,25.6,,,,,,0,0,,0.32,1.3,0.087,0.113,6.252,0.603,0.633,11,1.27,89,,0
168705,"Carne de res, lomo redondo, parte magra y grasa, recortado a 1/8 ""de grasa, selecto, crudo",178,19.74,10.39,0,0,,5,2.02,22,195,332,58,4.45,0.077,0.013,19.6,,,,,,0,0,,,,0.11,0.18,3.18,0.33,0.41,7,3.03,82.5,,0
168707,"Carne de res, filete de paleta, sin hueso, parte magra y grasa, recortado a 0 ""de grasa, elegido, crudo",152,20.07,7.94,0,0,,12,2.5,19,199,336,81,7.53,0.093,0.01,22.2,,,,,,3,0,0.1,0.16,1.5,0.08,0.245,3.793,0.869,0.414,3,4.29,70.4,,11
168714,"Carne de res, pechuga, mitad plana, sin hueso, parte magra y grasa, recortado a 0 ""de grasa, todos los grados, crudo",165,20.32,9.29,0,0,,13,2,22,210,344,80,4.98,0.067,0.002,23.1,,,,,,4,0,0.1,0.14,1.5,0.075,0.154,6.019,0.689,0.59,3,1.76,59.9,,12
168717,"Carne de res, lomo corto, chuletón, parte magra y grasa, recortado a 1/8 ""de grasa, elección, crudo",228,20,15.83,0,0,,21,1.64,10,174,229,35,3.31,0.053,0.002,19.8,,,,,,4,0,0.1,0.27,1.6,0.047,0.195,5.164,,0.568,5,1.66,50.5,,14
168719,"Carne de res, lomo, lomo superior, parte magra y grasa, recortado a 1/8 ""de grasa, selecto, crudo",224,20.59,15.04,0,0,,23,1.47,21,189,313,52,3.45,0.071,0.009,23.5,,,,,,0,0,,0.38,1.6,0.074,0.112,5.502,0.583,0.569,11,0.98,86,,0
168734,"Carne de res, solomillo inferior, asado de tres puntas, parte magra y grasa, recortado a 0 ""de grasa, todos los grados, crudo",165,20.64,8.55,0,0,,25,1.49,21,189,317,52,3.58,0.07,0.011,23.1,,,,,,0,0,,0.32,1.3,0.064,0.1,6.087,0.594,0.563,11,1.06,86.2,,0
168736,"Carne de res, solomillo inferior, asado de tres puntas, parte magra y grasa, recortado a 0 ""de grasa, elegido, crudo",174,20.64,9.51,0,0,,25,1.47,21,183,313,51,3.61,0.067,0.013,22.1,,,,,,0,0,,0.33,1.3,0.055,0.087,6.658,0.603,0.556,11,1.15,86.2,,0
168742,"Carne de res, lomo asado, sin hueso, America's Beef Roast, sólo magro separable, recortado a 0 ""de grasa, selecto, crudo",133,20.52,5.71,0,0,,19,2.21,21,200,393,86,8.29,0.071,0.011,24.3,,,,,,2,0,0.1,0.15,1.5,0.07,0.17,4.83,0.72,0.435,3,2.98,69.9,,7
168743,"Carne de res, pechuga, mitad plana, sin hueso, parte magra y grasa, recortado a 0 ""de grasa, elegido, crudo",169,20.15,9.86,0,0,,13,1.98,22,212,349,79,4.93,0.069,0.002,21.6,,,,,,4,0,0.1,0.16,1.5,0.07,0.154,6.115,0.647,0.586,3,1.68,61.3,,12
168771,Goma de mascar,360,0,0.3,96.7,2.4,,0,0,0,0,2,1,0,0,0,0.6,,,,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
168774,"Cacao, polvo seco, sin azúcar, Cacao estilo europeo HERSHEY'S",410,20,10,60,20,,0,36,,,,0,,,,,,,,,,,0,,,,,,,,,,,,,0
168802,"Glaseados, vainilla, mezcla cremosa y seca",410,0.3,4.9,93.8,0.1,,3,0,2,4,7,13,0.01,0.035,0.012,0.8,,,,,,0,0,,,,0,0.002,0.001,0.007,0.001,0,0,,,0
168803,"Glaseados, mezcla blanca, esponjosa y seca",371,2.3,0,94.9,0,,4,0.09,3,7,117,234,0.01,0.037,0.007,4.1,,,,,,0,0,,,,0.001,0.058,1,0.052,0.001,3,0.01,,,0
168816,"Mantequillas de frutas, manzana",173,0.39,0.3,42.47,1.5,,14,0.31,4,8,91,15,0.06,0.08,0.315,0.4,,,,,,1,0.6,0,0.05,0.9,0.009,0.019,0.076,0.049,0.037,1,0,2.1,,22
168819,"mermelada, naranja",246,0.3,0,66.3,0.7,,38,0.15,2,4,37,56,0.04,0.09,0.02,0.6,,,,,,3,4.8,0,0.06,0,0.005,0.025,0.052,0.015,0.019,9,0,3,,62
168820,Melaza,290,0,0.1,74.73,0,,205,4.72,242,31,1464,37,0.29,0.487,1.53,17.8,,,,,,0,0,0,0,0,0.041,0.002,0.93,0.804,0.67,0,0,13.3,,0
168833,"Azúcares, morenos",380,0.12,0,98.09,0,,83,0.71,9,4,133,28,0.03,0.047,0.064,1.2,,,,,,0,0,0,0,0,0,0,0.11,0.132,0.041,1,0,2.3,,0
168867,"Harina de maíz, desgerminada, enriquecida, amarilla.",370,7.11,1.75,79.45,3.9,,3,4.36,32,99,142,7,0.66,0.076,0.174,10.5,,,,,,11,0,0,0.12,0,0.551,0.382,4.968,0.24,0.182,209,0,8.6,,214
168868,"Harina de maíz, amarilla, con levadura, atornillada, natural, enriquecida",334,8.28,3.4,70.28,6.7,,361,5.76,86,804,255,1247,2,0.15,0.498,,,,,,,23,0,0,,,0.661,0.4,5.291,0.425,0.54,233,0,,,469
168870,"Harina de maíz, amarilla, con levadura, desgerminada, enriquecida",355,8.41,1.72,74.79,7.1,,350,4.73,49,623,170,1348,1,0.13,0.105,,,,,,,11,0,0,,,0.678,0.387,4.566,0.312,0.39,233,0,,,214
168872,"Salvado de avena, crudo",246,17.3,7.03,66.22,15.4,,58,5.41,235,734,566,4,3.11,0.403,5.63,45.2,,,,,,0,0,0,1.01,3.2,1.17,0.22,0.934,1.494,0.165,52,0,32.2,,0
168876,"Arroz, integral, sancochado, seco, UNCLE BEN'S",370,7.6,2.75,78.68,3.5,,8,1.16,98,275,219,6,1.96,0.327,2.975,25.2,,,,,,0,0,0,0.09,0.9,0.277,0.092,4.973,0.895,0.407,14,0,9.1,,0
168877,"Arroz, blanco, de grano largo, normal, crudo, enriquecido",365,7.13,0.66,79.95,1.3,,28,4.31,25,115,115,5,1.09,0.22,1.088,15.1,,,,,,0,0,0,0.11,0.1,0.576,0.049,4.192,1.014,0.164,231,0,5.8,,0
168879,"Arroz, blanco, de grano medio, crudo, enriquecido",360,6.61,0.58,79.34,1.4,,9,4.36,35,108,86,1,1.16,0.11,1.1,15.1,,,,,,0,0,0,0.11,,0.578,0.048,5.093,1.342,0.145,231,0,,,0
168884,grano de centeno,338,10.34,1.63,75.86,15.1,,24,2.63,110,332,510,2,2.65,0.367,2.577,13.9,,,,,,1,0,0,0.85,5.9,0.316,0.251,4.27,1.456,0.294,38,0,30.4,,11
168885,"harina de centeno, oscura",325,15.91,2.22,68.63,23.8,,37,4.97,160,499,717,2,5.04,0.56,6.062,18,,,,,,1,0,0,2.73,5.9,0.316,0.251,4.27,1.456,0.443,33,0,30.4,,11
168886,"Harina de centeno, mediana",349,10.88,1.52,75.43,11.8,,24,2.54,63,225,374,2,2.17,0.331,2.412,14.4,,,,,,0,0,0,1.43,5.9,0.287,0.114,1.727,0.492,0.268,34,0,20.6,,0
168887,"Harina de centeno, ligera",357,9.82,1.33,76.68,8,,13,0.91,32,130,224,2,1.33,0.213,1.162,17.6,,,,,,0,0,0,0.83,5.9,0.331,0.09,0.8,0.665,0.234,23,0,10.8,,0
168888,"Harina de triticale, integral",338,13.18,1.81,73.14,14.6,,35,2.59,153,321,466,2,2.66,0.559,4.185,,,,,,,0,0,0,0.9,,0.378,0.132,2.86,2.167,0.403,74,0,,,0
168889,"Trigo, dura primavera roja",329,15.4,1.92,68.03,12.2,,25,3.6,124,332,340,2,2.78,0.41,4.055,70.7,,,,,,0,0,0,1.01,1.9,0.504,0.11,5.71,0.935,0.336,43,0,31.2,,9
168890,"Trigo, duro invierno rojo",327,12.61,1.54,71.18,12.2,,29,3.19,126,288,363,2,2.65,0.434,3.985,70.7,,,,,,0,0,0,1.01,1.9,0.383,0.115,5.464,0.954,0.3,38,0,31.2,,9
168891,"Trigo, invierno rojo suave.",331,10.35,1.56,74.24,12.5,,27,3.21,126,493,397,2,2.63,0.45,4.391,,,,,,,0,0,0,1.01,,0.394,0.096,4.8,0.85,0.272,41,0,,,0
168892,"Germen de trigo, crudo",360,23.15,9.72,51.8,13.2,,39,6.26,239,842,892,12,12.29,0.796,13.301,79.2,,,,,,0,0,0,,,1.882,0.499,6.813,2.257,1.3,281,0,,,0
168893,Harina de trigo integral (Incluye alimentos para el Programa de Distribución de Alimentos del USDA),340,13.21,2.5,71.97,10.7,,34,3.6,137,357,363,2,2.6,0.41,4.067,61.8,,,,,,0,0,0,0.71,1.9,0.502,0.165,4.957,0.603,0.407,44,0,31.2,,9
168894,"Harina de trigo, blanca, para todo uso, enriquecida, blanqueada",364,10.33,0.98,76.31,2.7,,15,4.64,22,108,107,2,0.7,0.144,0.682,33.9,,,,,,0,0,0,0.06,0.3,0.785,0.494,5.904,0.438,0.044,183,0,10.4,,0
168895,"Harina de trigo, blanca, para todo uso, con levadura, enriquecida",354,9.89,0.97,74.22,2.7,,338,4.67,19,595,124,1193,0.62,0.112,1,34.4,,,,,,0,0,0,0.05,0.3,0.674,0.414,5.832,0.438,0.05,196,0,10.4,,0
168896,"Harina de trigo, blanca, pan, enriquecida.",361,11.98,1.66,72.53,2.4,,15,4.41,25,97,100,2,0.85,0.182,0.792,39.7,,,,,,0,0,0,0.4,0.3,0.812,0.512,7.554,0.438,0.037,183,0,10.4,,2
168898,"Harina de arroz, integral",363,7.23,2.78,76.48,4.6,,11,1.98,112,337,289,8,2.45,0.23,4.013,,,,,,,,0,0,0.6,,0.443,0.08,6.34,1.591,0.736,16,0,,,0
168899,"Pasta, sin gluten, maíz, seca",357,7.46,2.08,79.26,11,,4,0.93,119,253,294,3,1.79,0.202,0.483,7.9,,,,,,9,0,,,,0.231,0.087,2.43,0.484,0.206,25,0,,,170
168903,"Macarrones, vegetales, enriquecidos, secos",367,13.14,1.04,74.88,4.3,,34,4.28,46,116,285,43,0.76,0.2,3.846,,,,,,,8,0,0,,,1.032,0.525,7.328,0.752,0.129,278,0,,,160
168905,"Fideos chinos, chow mein",471,10.88,21.24,63.64,6.7,,0,6.43,19,98,103,866,0.81,0.124,0.577,28.5,,,,,,0,0,0,0.83,5.3,0.567,0.397,4.717,,0.043,125,0,9,,0
168906,"Fideos, japoneses, soba, secos",336,14.38,0.71,74.62,,,35,2.7,95,254,252,792,1.71,0.23,1.291,,,,,,,0,0,0,,,0.48,0.13,3.21,0.954,0.24,60,0,,,0
168908,"Fideos japoneses, somen, secos",356,11.35,0.81,74.1,4.3,,23,1.32,28,80,164,1840,0.45,0.144,0.479,8.3,,,,,,0,0,0,,,0.101,0.026,0.875,0.491,0.05,14,0,,,0
168911,"Espaguetis, espinacas, secas",372,13.35,1.57,74.81,10.6,,58,2.13,174,332,376,36,2.76,0.499,2.645,63.5,,,,,,23,0,0,0.74,151.5,0.373,0.196,4.55,1.214,0.323,48,0,17.1,,461
168913,"Harinas de trigo, pan, no enriquecidas",361,11.98,1.66,72.53,2.4,,15,0.9,25,97,100,2,0.85,0.182,0.792,39.7,,,,,,0,0,0,0.4,0.3,0.08,0.06,1,0.438,0.037,33,0,10.4,,2
168915,"Pasta, grano integral, 51 % trigo integral, resto de sémola no enriquecida, seca",362,13.51,2.68,73.1,10.1,,27,3.33,104,287,366,11,2.4,0.426,2.242,69.4,,,,,,,,,0.17,0.9,0.371,0.193,7.948,0.8,0.28,59,,,,
168920,"Grano de maíz, blanco",365,9.42,4.74,74.26,,,7,2.71,127,210,287,35,2.21,0.314,0.485,15.5,,,,,,0,0,0,,,0.385,0.201,3.627,0.424,0.622,,0,,,0
168921,"Harina de maíz integral, azul (harina de maíz morado)",364,8.75,5.09,73.89,8.4,,5,1.74,110,263,381,5,2.24,0.154,0.54,2.2,,,,,,,,,,,0.16,0.23,2.6,0.55,0.47,,,,,
168922,"Harina de maíz, desgerminada, enriquecida, blanca",370,7.11,1.75,79.45,3.9,,3,4.36,32,99,142,7,0.66,0.076,0.174,10.5,,,,,,0,0,0,0.12,0,0.551,0.382,4.968,0.24,0.182,209,0,8.6,,3
168923,"Harina de maíz, blanca, con levadura, atornillada, natural, enriquecida",334,8.28,3.4,70.28,6.7,,361,5.76,86,804,255,1247,2,0.15,,,,,,,,0,0,0,,,0.661,0.4,5.291,0.425,0.54,233,0,,,0
168925,"Harina de maíz, blanca, con levadura, desgerminada, enriquecida",355,8.41,1.72,74.79,7.1,,350,4.73,49,623,170,1348,1,0.13,,,,,,,,0,0,0,,,0.678,0.387,4.566,,0.39,233,0,,,0
168927,"Pasta, seca, no enriquecida",371,13.04,1.51,74.67,3.2,,21,1.3,53,189,223,6,1.41,0.289,0.917,63.2,,,,,,0,0,0,0.11,0.1,0.09,0.06,1.7,0.431,0.142,18,0,,,0
168929,"Harina de maíz, desgerminada, no enriquecida, amarilla",370,7.11,1.75,79.45,3.9,,3,1.1,32,99,142,7,0.66,0.076,0.174,10.5,,,,,,11,0,0,0.12,0,0.14,0.05,1,0.24,0.182,30,0,8.6,,214
168931,"Arroz, blanco, de grano corto, crudo, no enriquecido",358,6.5,0.52,79.15,,,3,0.8,23,95,76,1,1.1,0.21,1.037,,,,,,,,0,0,,,0.07,0.048,1.6,1.287,0.171,6,0,,,
168933,"Sémola, no enriquecida",360,12.68,1.05,72.83,3.9,,17,1.23,47,136,186,1,1.05,0.189,0.619,,,,,,,0,0,0,,,0.28,0.08,3.31,0.58,0.103,72,0,,,0
168936,"Harina de trigo, blanca, para todo uso, enriquecida, sin blanquear",364,10.33,0.98,76.31,2.7,,15,4.64,22,108,107,2,0.7,0.144,0.682,33.9,,,,,,0,0,0,0.23,0.3,0.785,0.494,5.904,0.438,0.044,183,0,,,2
168937,"Espaguetis, enriquecidos con proteínas, secos, enriquecidos (n x 6,25)",374,21.78,2.23,65.65,2.4,,39,4.15,65,163,201,8,1.79,0.278,0.91,,,,,,,0,0,0,,,1.187,0.475,7.654,0.684,0.178,278,0,,,0
168943,"Harina de sorgo, integral",359,8.43,3.34,76.64,6.6,,12,3.14,123,278,324,3,1.63,0.253,1.258,12.2,,,,,,0,0.8,,0.5,6.4,0.329,0.061,4.496,0.539,0.325,25,,,,0
168944,"Harina de trigo, integral, trigo blando",332,9.61,1.95,74.48,13.1,,33,3.71,117,323,394,3,2.96,0.475,3.399,12.7,,,,,,0,0,0,0.53,1.9,0.297,0.188,5.347,1.011,0.191,28,,31.2,,9
168978,Ascidias (tunughnak) (nativas de Alaska),20,3.8,0.5,0,,,47,3.3,,,102,656,,,,,,,,,,,0,,,,0,0.2,0,,,,,,,0
168979,"Ballena, beluga, aleta, cruda (Nativos de Alaska)",271,19,21.7,0,0,,11,2.8,,153,,,,,,,,,,,,279,0,,,,,,,,,,,,,930
168980,"Ballena, beluga, hígado, crudo (Nativos de Alaska)",117,18.4,3.9,2,,,11,,,230,,,,,,,,,,,,,,,,,,,,,,,,,,22100
168981,"Petróleo, beluga, ballena (nativa de Alaska)",900,0,100,0,0,,0,0,0,0,0,0,0,0,0,3,,,,,,694,,5.7,8.27,0,0,0,0,,,,0,,,2310
168982,"Moras, silvestres, crudas (Nativos de Alaska)",52,0.84,1.07,9.84,3.2,,5,0.21,4,11,75,6,0.15,0.222,0.287,,,,,,,5,4.7,,0.91,5.9,0.06,0.144,0.314,1.258,0.039,11,0,,,46
168983,"Caribú, hígado, crudo (Nativo de Alaska)",122,15,3.9,6.8,,,4,15.7,,282,,,,,,,,,,,,,,,,,,,,,,,,,,28800
168985,"Caribú, lengua, cruda (Nativos de Alaska)",260,13.7,22.8,0,,,6,2.8,,150,,,,,,,,,,,,,,,,,0.12,,,,,,,,,190
168986,"Chitón, coriáceo, botas de goma (Nativos de Alaska)",83,17.1,1.6,0,,,121,16,,,,,,,,,,,,,,,0,,,,0.05,0.34,4.2,,,,,,,1650
168987,"Pescado, pez diablo, carne (Nativos de Alaska)",97,11.7,5.3,0,,,12,0.4,,3,,,,,,,,,,,,,3,,,,0.09,0.1,1.1,,,,,,,1020
168988,"Fireweed, hojas tiernas, crudas (Nativos de Alaska)",44,3,0.8,6.3,6,,13,2.1,,166,251,50,,,,,,,,,,,99,,,,0.04,0.86,1.4,,,,,,,5720
168989,"Pescado, huevos de arenque sobre algas gigantes, Pacífico (Nativos de Alaska)",63,11.3,0.8,2.6,,,161,3.4,,,,61,,,,,,,,,,,,,,,0.1,0.13,2.7,,,,,,,89
168990,"Pescado, huevos de arenque, Pacífico, seco (Nativos de Alaska)",312,60.4,6.6,2.8,,,29,,,808,,,,,,,,,,,,,,,,,0.05,0.17,4.1,,,,,,,
168993,"Agave, seco (Suroeste)",341,1.71,0.69,81.98,15.6,,770,3.64,207,37,767,14,12.1,0.189,0.337,0.6,,,,,,1,0.3,0,0.76,0.5,0.021,0.644,0.87,0.15,0.216,7,0,,,18
168994,"Totora, brotes de hojas estrechas (indios de las llanuras del norte)",25,1.18,0,5.14,4.5,,54,0.91,63,45,309,109,0.24,0.041,0.76,0.6,,,,,,1,0.7,,,22.8,0.023,0.025,0.44,0.234,0.123,3,,23.7,,11
168996,"Nabos de pradera, hervidos (indios de las llanuras del norte)",129,1.64,0.32,29.99,7.2,,103,0.95,49,20,108,4,0.28,0.038,0.209,,,,,,,,2,,,,0.126,0.039,0.708,,0.379,,,,,
168997,Frambuesas silvestres (indios de las llanuras del norte),62,1.12,0.28,13.85,7.5,,36,0.64,26,41,175,4,0.47,0.097,0.368,,,,,,,2,26.4,,0.57,6.6,0.018,0.08,1.03,0.3,0.104,5,,9.5,,50
168998,Escaramujos silvestres (indios de las llanuras del norte),162,1.6,0.34,38.22,24.1,,169,1.06,69,61,429,4,0.25,0.113,1.02,,,,,,,217,426,,5.84,25.9,0.016,0.166,1.3,0.8,0.076,3,,12,,4345
168999,"Cerezas choke, crudas, sin hueso (Indios de las Llanuras del Norte)",162,3.04,1.69,33.62,20,,60,0.69,27,67,379,5,0.33,0.186,0.417,,,,,,,8,5.5,,0.35,21.1,0.034,0.173,0.628,0.398,0.198,2,,10.7,,168
169000,"León marino, Steller, hígado (Nativo de Alaska)",137,22.9,5,0,,,6,9,22,396,291,88,4.1,1.89,0.7,693,,,,,,,,,,,,,,,,,,,,
169001,"León marino, Steller, riñón (Nativo de Alaska)",93,18.1,1.7,1.4,,,9,7,16,301,253,231,2.9,0.875,0.131,274,,,,,,0,0,,0,,,,,,,,,,,0
169002,"León marino, Steller, corazón (Nativo de Alaska)",102,17,3.3,1,,,5,6.7,22,263,319,115,2.24,0.306,0.037,122,,,,,,,,,,,,,,,,,,,,
169003,"León marino, Steller, carne (Nativos de Alaska)",120,25.85,1.88,0,,,6,11.48,22,253,406,62,3.32,0.527,0.017,111.8,,,,,,0,0,0,,,,,,,,,,,,
169004,"Pan piki, elaborado con harina de maíz azul (Hopi)",390,9.06,7.16,72.22,9.2,,184,6.11,181,374,604,60,3.75,0.286,1.82,14.6,,,,,,0,,,0.76,0.2,0.16,0.05,2.92,0.72,0.542,,,,,3
169008,"APPLEBEE'S, Camarones Doble Crujiente",323,12.31,18.9,25.96,2.6,,45,1.03,23,271,97,838,0.78,0.14,0.281,26.6,,,,,,2,,,1.97,29.1,0.09,0.089,0.9,0.34,0.055,14,0.43,50.1,,5
169009,"APPLEBEE'S, papas fritas",290,3.31,13.17,39.5,3.9,,19,1.01,29,137,538,618,0.49,0.109,0.268,0.4,,,,,,0,0.7,,0.93,33.4,0.103,0.058,2.18,0.495,0.205,,,,,0
169011,"APPLEBEE'S, palitos de mozzarella",316,14.87,18.37,22.87,2.1,,319,0.43,20,307,106,838,2,0.059,0.239,17.6,,,,,,113,,,0.71,22.2,0.073,0.26,0.66,0.41,0.067,,0.99,,,432
169012,"APPLEBEE'S, filetes de pollo, del menú infantil",296,19.25,16.15,18.36,1.2,,23,0.9,30,305,337,763,0.71,0.071,0.26,16.9,,,,,,10,,,1.28,25.1,0.1,0.177,7.89,1.565,0.484,,0.15,,,72
169013,"TGI VIERNES, dedos de pollo, del menú infantil",330,18.11,20.78,17.72,0.9,,27,0.79,28,338,300,792,0.62,0.064,0.236,28,,,,,,2,,,1.85,25.4,0.1,0.183,7.983,1.72,0.43,,0.09,,,10
169014,"TGI FRIDAY'S, solomillo clásico (10 oz)",196,31.02,7.83,0.47,,,7,2.87,28,240,379,232,5.54,0.112,0.026,30.6,,,,,,11,,,0.77,,0.091,0.403,5.743,0.663,0.739,,2.63,,,37
169018,"APPLEBEE'S, chile",157,12.56,9.79,4.57,1.4,,34,1.46,18,104,320,381,2.23,0.086,0.084,13.1,,,,,,149,1.1,,1.15,,0.037,0.207,3.557,0.405,0.321,,1.26,,,1436
169019,"TGI VIERNES, dedos de pollo",325,18.68,20.31,16.84,0.8,,26,0.77,29,350,308,787,0.65,0.066,0.23,28.8,,,,,,2,,,1.69,,0.103,0.18,8.387,1.62,0.455,,0.12,,,10
169020,"APPLEBEE'S, ensalada de col",120,0.79,7.09,13.17,2.8,,36,0.26,10,23,156,178,0.19,0.017,0.148,0.4,,,,,,77,13.7,,0.5,65.1,0.03,0.063,0.3,0.205,0.129,,,,,1504
169022,"DENNY'S, tiras de pollo",295,19.17,14.5,22.03,1.1,,11,0.72,30,273,334,798,0.71,0.066,0.228,17,,,,,,14,,,1.22,,0.087,0.167,8.073,1.35,0.467,14,0.14,,,87
169023,"DENNY'S, ensalada de col",183,0.97,15.03,10.88,1.3,,32,0.34,9,29,141,376,0.2,0.019,0.151,2.9,,,,,,42,13.2,,0.93,86.1,0.027,0.059,0.263,0.315,0.102,,,,,707
169025,"DENNY'S, croquetas de patata",197,2.49,8.99,26.59,2.7,,17,0.56,26,71,416,468,0.29,0.066,0.168,,,,,,,,0,,0.55,32.6,0.007,0.048,2.17,0.455,0.203,23,,,,
169030,"GRILL ITALIANO DE CARRABBA, lasaña",191,10.48,11.06,12.36,1.3,,185,0.74,24,176,266,524,1.35,0.073,0.155,20.9,,,,,,102,0.8,,0.97,,0.12,0.2,1.757,0.47,,16,0.77,,,685
169031,"EN LA FRONTERA, arroz mexicano",195,3.56,4.86,34.15,1.1,,39,1.18,15,74,131,677,0.38,0.073,0.35,7.3,,,,,,3,0.3,,0.59,12.3,0.28,0.086,2.75,0.51,,52,0.09,9.1,,61
169034,"EN LA FRONTERA, quesadilla de queso",394,16.87,25.5,24.25,2.2,,432,1.52,24,373,95,677,2.32,0.061,0.246,23.6,,,,,,,,,0.68,,0.23,0.34,1.985,0.39,0.06,55,0.82,,,
169045,"Gomas, gomas de semillas (incluye algarrobo, guar)",332,4.6,0.5,77.3,77.3,,294,0,0,0,0,125,0,0,,0,,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,,0
169050,"Queso, muenster, bajo en grasa",271,24.7,17.6,3.5,0,,529,0.41,27,468,134,600,2.81,0.031,,14.5,,,,,,175,0,0.3,0.15,1.5,0.01,0.36,0.1,,0.06,12,1.47,15.4,,593
169051,"Queso, mozzarella, sin grasa",141,31.7,0,3.5,1.8,,961,0.31,33,656,106,743,3.92,0.034,,18.9,,,,,,127,0,0,0.14,1.6,0.02,0.3,0.12,,0.08,10,0.92,15.4,,481
169052,"Mezcla de mantequilla y margarina similar a la margarina, 80 % de grasa, en barra, sin sal",718,0.9,80.7,0.6,0,,28,0.09,2,23,37,28,0.02,0.005,,0.5,,,,,,819,0.1,0.3,5,70.9,0.01,0.04,0.03,,0.01,2,0.1,15,,3577
169066,"Rebanadas de almuerzo, sin carne",189,17.78,11.11,4.44,1.1,,41,1.8,23,442,200,711,1.6,0.908,,7.4,,,,,,0,0,0,3,0,4,0.302,11.11,,0.889,100,4,105.3,,0
169067,"Albóndigas, sin carne",197,21,9,8,4.6,,25,2.16,18,344,180,550,1.8,0.706,,0.8,,,,,,0,0,0,1.73,0,0.938,0.213,2.5,0.5,0.2,78,1.5,88.4,,0
169068,filetes vegetarianos,290,23,18,9,6.1,,95,2,23,450,600,490,1.4,0.925,,1,,,,,,0,0,0,3.45,0,1.1,0.9,12,,1.5,102,4.2,82,,0
169072,"Edulcorantes de mesa, sacarina (sacarina sódica)",360,0.94,0,89.11,0,,0,0.04,0,0,4,428,0.01,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
169079,"Queso, nata, bajo en grasa",208,7.85,16.67,6.73,0,,148,0.17,8,152,247,317,0.57,0.032,0.011,4,,,,,,161,0,0.3,0.27,1.1,0.04,0.185,0.125,0.845,0.045,19,0.92,12.1,,552
169080,"Queso, proceso pasteurizado, americano, bajo en grasa",180,24.6,7,3.5,0,,684,0.43,24,827,180,1789,3.32,0.033,,16.6,,,,,,57,0,0.1,0.27,2.7,0.03,0.39,0.08,,0.08,9,0.77,36.2,,215
169081,"Queso para untar, base de queso crema",295,7.1,28.6,3.5,0,,71,1.13,6,91,112,436,0.51,0.015,,2.7,,,,,,302,0,0.5,0.77,2.4,0.02,0.19,0.95,,0.04,12,0.4,27.2,,1031
169082,"Cerdo, estilo oriental, deshidratado",615,11.8,62.4,1.4,0,,10,0.5,11,128,139,685,1.15,0.064,,36.3,,,,,,0,0,,0.36,0,0.45,0.14,2.1,,0.2,2,0.3,,,0
169083,"Soja, requesón",151,12.5,8.1,6.9,0,,188,5.6,228,222,199,20,1.72,0.38,0.889,16.8,,,,,,2,0,0,0.6,4.6,0,0.14,0.5,0.116,0.07,22,0,62.5,,42
169086,"Lichis, crudos",66,0.83,0.44,16.53,1.3,,5,0.31,10,31,171,1,0.07,0.148,0.055,0.6,,,,,,0,71.5,0,0.07,0.4,0.011,0.065,0.603,,0.1,14,0,7.1,,0
169087,"Lichis, secos",277,3.8,1.2,70.7,4.6,,33,1.7,42,181,1110,3,0.28,0.631,0.234,1.3,,,,,,0,183,0,0.31,1.6,0.01,0.57,3.1,,0.09,12,0,12.7,,0
169089,"Longanos, crudos",60,1.31,0.1,15.14,1.1,,1,0.13,10,21,266,0,0.05,0.169,0.052,,,,,,,,84,,,,0.031,0.14,0.3,,,,0,,,
169091,"Mango, seco, endulzado",319,2.45,1.18,78.58,2.4,,0,0.23,20,50,279,162,0.3,0.3,10,2.1,,,,,,67,42.3,0,4.02,13.2,0.062,0.085,2,,0.334,68,0,23.7,,1343
